"unit","rd","unit_type","total_kills","pilots_w_kills","aces","gt_20","entries","exits","ace_entries","ace_exits","sum_claims","date"
"JG 11",0,"JG",1120,50,31,12,0,0,0,0,0,1944-06-09
"JG 2",0,"JG",579,49,34,8,0,0,1,0,1,1944-06-09
"JG 26",0,"JG",1070,51,35,18,0,0,0,0,0,1944-06-09
"JG 27",0,"JG",533,45,28,8,0,1,0,1,0,1944-06-09
"JG 27",1,"JG",278,20,15,3,0,0,0,0,0,1944-06-09
"JG 3",0,"JG",1505,89,68,23,0,0,0,0,0,1944-06-09
"JG 3",1,"JG",264,28,17,2,0,0,0,0,0,1944-06-09
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-09
"JG 301",1,"wilde_sau",33,8,1,0,0,0,0,0,0,1944-06-09
"JG 302",1,"wilde_sau",112,13,8,2,0,0,0,0,6,1944-06-09
"JG 4",1,"JG",94,5,5,2,0,0,0,0,2,1944-06-09
"JG 5",0,"JG",716,59,39,9,0,0,0,0,0,1944-06-09
"JG 51",0,"JG",2949,137,109,45,0,0,0,0,1,1944-06-09
"JG 52",0,"JG",3292,106,83,36,0,0,0,0,0,1944-06-09
"JG 53",0,"JG",785,63,40,9,0,0,0,0,2,1944-06-09
"JG 54",0,"JG",2860,109,81,38,0,0,0,0,0,1944-06-09
"JG 77",0,"JG",1240,85,57,16,0,1,0,1,3,1944-06-09
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-09
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-09
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-09
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-09
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-09
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-09
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-09
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-09
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-09
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-09
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-09
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-09
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-09
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-09
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-09
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-06-09
"NAGr. 14",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-09
"NAGr. 2",0,"JG",57,4,4,1,0,0,0,0,0,1944-06-09
"NAGr. 4",0,"JG",27,6,3,0,0,0,0,0,0,1944-06-09
"NAGr. 5",0,"JG",15,4,1,0,0,0,0,0,0,1944-06-09
"NJG 1",1,"NJG",748,44,30,13,0,0,0,0,0,1944-06-09
"NJG 100",0,"NJG",147,21,16,0,0,0,0,0,0,1944-06-09
"NJG 101",0,"NJG",23,7,3,0,0,0,0,0,0,1944-06-09
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-06-09
"NJG 2",1,"NJG",254,25,15,4,0,0,0,0,0,1944-06-09
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-06-09
"NJG 3",1,"NJG",393,38,28,3,0,0,0,0,0,1944-06-09
"NJG 4",1,"NJG",344,24,18,7,0,0,0,0,0,1944-06-09
"NJG 5",1,"NJG",374,29,24,6,0,0,0,0,0,1944-06-09
"NJG 6",1,"NJG",256,19,13,4,0,0,0,0,0,1944-06-09
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-06-09
"Schl.G. 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-06-09
"SG 10",0,"JG",36,6,3,0,0,0,0,0,0,1944-06-09
"SG 2",0,"JG",102,9,8,1,0,0,0,0,0,1944-06-09
"SG 4",0,"JG",12,3,2,0,0,0,0,0,0,1944-06-09
"SG 77",0,"JG",27,4,3,0,0,0,0,0,0,1944-06-09
"SKG 10",0,"JG",6,2,0,0,0,0,0,0,0,1944-06-09
"Sturmst. 1",0,"JG",19,2,1,0,0,0,0,0,0,1944-06-09
"ZG 1",1,"ZG",131,15,10,1,0,1,0,1,0,1944-06-09
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-06-09
"ZG 26",1,"ZG",88,19,9,0,0,0,0,0,0,1944-06-09
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-06-09
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-06-10
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-06-10
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-10
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-06-10
"JG 1",0,"JG",937,44,33,11,0,0,0,0,1,1944-06-10
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-10
"JG 11",0,"JG",1121,50,31,12,0,0,0,0,1,1944-06-10
"JG 2",0,"JG",579,49,34,8,0,0,0,0,0,1944-06-10
"JG 26",0,"JG",1073,51,35,18,0,0,0,0,1,1944-06-10
"JG 27",0,"JG",530,44,27,8,0,0,0,0,2,1944-06-10
"JG 27",1,"JG",281,20,16,3,0,0,1,0,2,1944-06-10
"JG 3",0,"JG",1506,89,68,23,0,0,0,0,1,1944-06-10
"JG 3",1,"JG",265,29,17,2,1,0,0,0,1,1944-06-10
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-10
"JG 301",1,"wilde_sau",33,8,1,0,0,0,0,0,0,1944-06-10
"JG 302",1,"wilde_sau",112,13,8,2,0,0,0,0,0,1944-06-10
"JG 4",1,"JG",94,5,5,2,0,0,0,0,0,1944-06-10
"JG 5",0,"JG",716,59,39,9,0,0,0,0,0,1944-06-10
"JG 51",0,"JG",2950,137,109,45,0,0,0,0,1,1944-06-10
"JG 52",0,"JG",3292,106,83,36,0,0,0,0,0,1944-06-10
"JG 53",0,"JG",789,64,41,9,1,0,1,0,4,1944-06-10
"JG 54",0,"JG",2862,109,81,38,0,0,0,0,2,1944-06-10
"JG 77",0,"JG",1236,84,57,16,0,0,1,0,5,1944-06-10
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-10
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-10
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-10
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-10
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-10
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-10
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-10
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-10
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-10
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-10
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-10
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-10
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-10
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-10
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-10
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-06-10
"NAGr. 14",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-10
"NAGr. 2",0,"JG",57,4,4,1,0,0,0,0,0,1944-06-10
"NAGr. 4",0,"JG",27,6,3,0,0,0,0,0,0,1944-06-10
"NAGr. 5",0,"JG",15,4,1,0,0,0,0,0,0,1944-06-10
"NJG 1",1,"NJG",748,44,30,13,0,0,0,0,0,1944-06-10
"NJG 100",0,"NJG",147,21,16,0,0,0,0,0,0,1944-06-10
"NJG 101",0,"NJG",25,7,3,0,0,0,0,0,1,1944-06-10
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-06-10
"NJG 2",1,"NJG",256,25,15,4,0,0,0,0,2,1944-06-10
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-06-10
"NJG 3",1,"NJG",393,38,28,3,0,0,0,0,0,1944-06-10
"NJG 4",1,"NJG",346,24,18,7,0,0,0,0,2,1944-06-10
"NJG 5",1,"NJG",375,29,24,6,0,0,0,0,1,1944-06-10
"NJG 6",1,"NJG",258,19,13,4,0,0,0,0,1,1944-06-10
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-06-10
"Schl.G. 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-06-10
"SG 10",0,"JG",36,6,3,0,0,0,0,0,0,1944-06-10
"SG 2",0,"JG",102,9,8,1,0,0,0,0,0,1944-06-10
"SG 4",0,"JG",12,3,2,0,0,0,0,0,0,1944-06-10
"SG 77",0,"JG",27,4,3,0,0,0,0,0,0,1944-06-10
"SKG 10",0,"JG",6,2,0,0,0,0,0,0,0,1944-06-10
"Sturmst. 1",0,"JG",19,2,1,0,0,0,0,0,0,1944-06-10
"ZG 1",1,"ZG",123,14,9,1,0,0,0,0,0,1944-06-10
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-06-10
"ZG 26",1,"ZG",88,19,9,0,0,0,0,0,0,1944-06-10
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-06-10
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-06-11
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-06-11
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-11
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-06-11
"JG 1",0,"JG",937,44,33,11,0,0,0,0,0,1944-06-11
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-11
"JG 11",0,"JG",1121,50,31,12,0,0,0,0,0,1944-06-11
"JG 2",0,"JG",579,49,34,8,0,0,0,0,0,1944-06-11
"JG 26",0,"JG",1074,51,35,18,0,0,0,0,1,1944-06-11
"JG 27",0,"JG",530,44,27,8,0,0,0,0,0,1944-06-11
"JG 27",1,"JG",281,20,16,3,0,0,0,0,0,1944-06-11
"JG 3",0,"JG",1506,89,68,23,0,0,0,0,0,1944-06-11
"JG 3",1,"JG",265,29,17,2,0,0,0,0,0,1944-06-11
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-11
"JG 301",1,"wilde_sau",34,8,2,0,0,0,1,0,1,1944-06-11
"JG 302",1,"wilde_sau",112,13,8,2,0,0,0,0,0,1944-06-11
"JG 4",1,"JG",94,5,5,2,0,0,0,0,0,1944-06-11
"JG 5",0,"JG",716,59,39,9,0,0,0,0,0,1944-06-11
"JG 51",0,"JG",2953,137,109,45,0,0,0,0,3,1944-06-11
"JG 52",0,"JG",3292,106,83,36,0,1,0,1,0,1944-06-11
"JG 53",0,"JG",789,64,41,9,0,0,0,0,0,1944-06-11
"JG 54",0,"JG",2863,109,81,38,0,0,0,0,1,1944-06-11
"JG 77",0,"JG",1242,84,57,16,0,0,0,0,5,1944-06-11
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-11
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-11
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-11
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-11
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-11
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-11
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-11
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-11
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-11
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-11
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-11
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-11
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-11
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-11
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-11
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-06-11
"NAGr. 14",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-11
"NAGr. 2",0,"JG",57,4,4,1,0,0,0,0,0,1944-06-11
"NAGr. 4",0,"JG",27,6,3,0,0,0,0,0,0,1944-06-11
"NAGr. 5",0,"JG",15,4,1,0,0,0,0,0,0,1944-06-11
"NJG 1",1,"NJG",751,44,30,13,0,0,0,0,3,1944-06-11
"NJG 100",0,"NJG",150,21,16,0,0,0,0,0,1,1944-06-11
"NJG 101",0,"NJG",25,7,3,0,0,0,0,0,0,1944-06-11
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-06-11
"NJG 2",1,"NJG",261,27,15,4,2,0,0,0,4,1944-06-11
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-06-11
"NJG 3",1,"NJG",397,38,28,3,0,0,0,0,1,1944-06-11
"NJG 4",1,"NJG",349,24,19,7,0,0,1,0,3,1944-06-11
"NJG 5",1,"NJG",382,29,24,6,0,0,0,0,3,1944-06-11
"NJG 6",1,"NJG",258,19,13,4,0,0,0,0,0,1944-06-11
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-06-11
"Schl.G. 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-06-11
"SG 10",0,"JG",36,6,3,0,0,0,0,0,0,1944-06-11
"SG 2",0,"JG",102,9,8,1,0,0,0,0,0,1944-06-11
"SG 4",0,"JG",12,3,2,0,0,0,0,0,0,1944-06-11
"SG 77",0,"JG",27,4,3,0,0,0,0,0,0,1944-06-11
"SKG 10",0,"JG",6,2,0,0,0,0,0,0,0,1944-06-11
"Sturmst. 1",0,"JG",19,2,1,0,0,0,0,0,0,1944-06-11
"ZG 1",1,"ZG",123,14,9,1,0,0,0,0,0,1944-06-11
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-06-11
"ZG 26",1,"ZG",88,19,9,0,0,0,0,0,0,1944-06-11
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-06-11
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-06-12
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-06-12
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-12
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-06-12
"JG 1",0,"JG",937,44,33,11,0,0,0,0,0,1944-06-12
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-12
"JG 11",0,"JG",1121,50,31,12,0,0,0,0,0,1944-06-12
"JG 2",0,"JG",583,49,34,8,0,0,0,0,3,1944-06-12
"JG 26",0,"JG",1076,51,35,18,0,0,0,0,2,1944-06-12
"JG 27",0,"JG",539,44,28,9,0,0,1,0,6,1944-06-12
"JG 27",1,"JG",285,20,16,3,0,0,0,0,2,1944-06-12
"JG 3",0,"JG",1511,90,68,23,0,0,0,0,2,1944-06-12
"JG 3",1,"JG",262,28,17,2,0,0,0,0,0,1944-06-12
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-12
"JG 301",1,"wilde_sau",36,8,3,0,0,0,0,0,1,1944-06-12
"JG 302",1,"wilde_sau",112,13,8,2,0,0,0,0,0,1944-06-12
"JG 4",1,"JG",94,5,5,2,0,0,0,0,0,1944-06-12
"JG 5",0,"JG",719,59,40,9,0,0,1,0,3,1944-06-12
"JG 51",0,"JG",2953,137,109,45,0,0,0,0,0,1944-06-12
"JG 52",0,"JG",3279,105,82,36,0,1,0,1,3,1944-06-12
"JG 53",0,"JG",791,65,41,9,1,0,0,0,2,1944-06-12
"JG 54",0,"JG",2865,109,81,38,0,2,0,2,2,1944-06-12
"JG 77",0,"JG",1242,84,57,16,0,0,0,0,0,1944-06-12
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-12
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-12
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-12
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-12
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-12
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-12
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-12
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-12
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-12
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-12
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-12
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-12
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-12
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-12
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-12
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-06-12
"NAGr. 14",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-12
"NAGr. 2",0,"JG",57,4,4,1,0,0,0,0,0,1944-06-12
"NAGr. 4",0,"JG",28,6,4,0,0,0,1,0,1,1944-06-12
"NAGr. 5",0,"JG",15,4,1,0,0,0,0,0,0,1944-06-12
"NJG 1",1,"NJG",752,44,30,13,0,0,0,0,1,1944-06-12
"NJG 100",0,"NJG",151,21,16,0,0,0,0,0,1,1944-06-12
"NJG 101",0,"NJG",25,7,3,0,0,0,0,0,0,1944-06-12
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-06-12
"NJG 2",1,"NJG",294,28,16,5,0,0,0,0,1,1944-06-12
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-06-12
"NJG 3",1,"NJG",365,37,27,2,0,0,0,0,0,1944-06-12
"NJG 4",1,"NJG",349,24,19,7,0,0,0,0,0,1944-06-12
"NJG 5",1,"NJG",382,29,24,6,0,0,0,0,0,1944-06-12
"NJG 6",1,"NJG",258,19,13,4,0,0,0,0,0,1944-06-12
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-06-12
"Schl.G. 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-06-12
"SG 10",0,"JG",36,6,3,0,0,0,0,0,0,1944-06-12
"SG 2",0,"JG",102,9,8,1,0,0,0,0,0,1944-06-12
"SG 4",0,"JG",12,3,2,0,0,0,0,0,0,1944-06-12
"SG 77",0,"JG",27,4,3,0,0,0,0,0,0,1944-06-12
"SKG 10",0,"JG",6,2,0,0,0,0,0,0,0,1944-06-12
"Sturmst. 1",0,"JG",19,2,1,0,0,0,0,0,0,1944-06-12
"ZG 1",1,"ZG",123,14,9,1,0,0,0,0,0,1944-06-12
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-06-12
"ZG 26",1,"ZG",88,19,9,0,0,0,0,0,0,1944-06-12
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-06-12
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-06-13
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-06-13
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-13
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-06-13
"JG 1",0,"JG",939,45,33,11,1,0,0,0,2,1944-06-13
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-13
"JG 11",0,"JG",1121,50,31,12,0,0,0,0,0,1944-06-13
"JG 2",0,"JG",583,49,34,8,0,0,0,0,0,1944-06-13
"JG 26",0,"JG",1077,51,35,18,0,0,0,0,1,1944-06-13
"JG 27",0,"JG",539,44,28,9,0,0,0,0,0,1944-06-13
"JG 27",1,"JG",285,20,16,3,0,0,0,0,0,1944-06-13
"JG 3",0,"JG",1511,90,68,23,0,0,0,0,0,1944-06-13
"JG 3",1,"JG",262,28,17,2,0,0,0,0,0,1944-06-13
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-13
"JG 301",1,"wilde_sau",37,8,3,0,0,0,0,0,1,1944-06-13
"JG 302",1,"wilde_sau",130,14,9,2,0,0,0,0,3,1944-06-13
"JG 4",1,"JG",95,5,5,2,0,0,0,0,1,1944-06-13
"JG 5",0,"JG",719,59,40,9,0,0,0,0,0,1944-06-13
"JG 51",0,"JG",2938,136,108,45,0,0,0,0,0,1944-06-13
"JG 52",0,"JG",3271,104,81,36,0,0,0,0,0,1944-06-13
"JG 53",0,"JG",792,65,41,9,0,0,0,0,1,1944-06-13
"JG 54",0,"JG",2801,107,79,37,0,0,0,0,0,1944-06-13
"JG 77",0,"JG",1245,85,57,16,1,0,0,0,3,1944-06-13
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-13
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-13
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-13
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-13
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-13
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-13
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-13
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-13
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-13
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-13
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-13
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-13
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-13
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-13
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-13
"NAGr. 11",0,"JG",14,1,1,0,0,0,0,0,0,1944-06-13
"NAGr. 14",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-13
"NAGr. 2",0,"JG",57,4,4,1,0,0,0,0,0,1944-06-13
"NAGr. 4",0,"JG",29,6,4,0,0,0,0,0,1,1944-06-13
"NAGr. 5",0,"JG",15,4,1,0,0,0,0,0,0,1944-06-13
"NJG 1",1,"NJG",766,44,30,14,0,0,0,0,9,1944-06-13
"NJG 100",0,"NJG",152,21,16,0,0,0,0,0,1,1944-06-13
"NJG 101",0,"NJG",25,7,3,0,0,0,0,0,0,1944-06-13
"NJG 102",0,"NJG",1,1,0,0,0,0,0,0,0,1944-06-13
"NJG 2",1,"NJG",300,28,16,5,0,0,0,0,6,1944-06-13
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1944-06-13
"NJG 3",1,"NJG",367,38,27,2,1,0,0,0,2,1944-06-13
"NJG 4",1,"NJG",357,24,20,7,0,0,0,0,3,1944-06-13
"NJG 5",1,"NJG",387,29,25,6,0,1,1,1,3,1944-06-13
"NJG 6",1,"NJG",259,19,13,5,0,0,0,0,1,1944-06-13
"NJGr. 10",0,"NJG",65,2,2,1,0,0,0,0,0,1944-06-13
"Schl.G. 1",0,"JG",3,1,0,0,0,0,0,0,0,1944-06-13
"SG 10",0,"JG",36,6,3,0,0,0,0,0,0,1944-06-13
"SG 2",0,"JG",102,9,8,1,0,0,0,0,0,1944-06-13
"SG 4",0,"JG",12,3,2,0,0,0,0,0,0,1944-06-13
"SG 77",0,"JG",27,4,3,0,0,0,0,0,0,1944-06-13
"SKG 10",0,"JG",6,2,0,0,0,0,0,0,0,1944-06-13
"Sturmst. 1",0,"JG",19,2,1,0,0,0,0,0,0,1944-06-13
"ZG 1",1,"ZG",123,14,9,1,0,0,0,0,0,1944-06-13
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1944-06-13
"ZG 26",1,"ZG",88,19,9,0,0,0,0,0,0,1944-06-13
"ZG 76",1,"ZG",62,9,8,0,0,0,0,0,0,1944-06-13
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1944-06-14
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1944-06-14
"Jagdlehrer Gr.",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-14
"JFS 5",0,"JG",11,1,1,0,0,0,0,0,0,1944-06-14
"JG 1",0,"JG",939,45,33,11,0,0,0,0,0,1944-06-14
"JG 108",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-14
"JG 11",0,"JG",1122,50,31,12,0,0,0,0,1,1944-06-14
"JG 2",0,"JG",589,49,34,8,0,0,0,0,5,1944-06-14
"JG 26",0,"JG",1083,51,35,18,0,0,0,0,5,1944-06-14
"JG 27",0,"JG",543,44,28,9,0,1,0,0,3,1944-06-14
"JG 27",1,"JG",291,20,16,3,0,0,0,0,2,1944-06-14
"JG 3",0,"JG",1511,90,68,23,0,1,0,1,0,1944-06-14
"JG 3",1,"JG",262,28,17,2,0,0,0,0,0,1944-06-14
"JG 300",1,"wilde_sau",114,25,7,1,0,0,0,0,0,1944-06-14
"JG 301",1,"wilde_sau",37,8,3,0,0,0,0,0,0,1944-06-14
"JG 302",1,"wilde_sau",130,14,9,2,0,0,0,0,0,1944-06-14
"JG 4",1,"JG",95,5,5,2,0,0,0,0,0,1944-06-14
"JG 5",0,"JG",719,59,40,9,0,0,0,0,0,1944-06-14
"JG 51",0,"JG",2938,136,108,45,0,0,0,0,0,1944-06-14
"JG 52",0,"JG",3272,104,81,36,0,0,0,0,1,1944-06-14
"JG 53",0,"JG",792,65,41,9,0,0,0,0,0,1944-06-14
"JG 54",0,"JG",2808,107,80,37,0,0,1,0,4,1944-06-14
"JG 77",0,"JG",1245,85,57,16,0,0,0,0,0,1944-06-14
"JG27",0,"JG",12,1,1,0,0,0,0,0,0,1944-06-14
"JGr. 200",0,"JG",5,1,1,0,0,0,0,0,0,1944-06-14
"JGr. Ost",0,"JG",27,3,2,0,0,0,0,0,0,1944-06-14
"JGr. Süd",0,"JG",12,2,2,0,0,0,0,0,0,1944-06-14
"JGr. West",0,"JG",8,1,1,0,0,0,0,0,0,1944-06-14
"JGzbV.",0,"JG",66,1,1,1,0,0,0,0,0,1944-06-14
"Kdo.Herr.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-14
"KG 40",0,"JG",9,2,1,0,0,0,0,0,0,1944-06-14
"KG 51",0,"JG",18,3,3,0,0,0,0,0,0,1944-06-14
"L.Beo.St. 7",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-14
"LG 2",0,"JG",18,4,2,0,0,0,0,0,0,1944-06-14
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1944-06-14
"NAG 12",0,"JG",7,1,1,0,0,0,0,0,0,1944-06-14
"NAG 13",0,"JG",9,1,1,0,0,0,0,0,0,1944-06-14
"NAG 4",0,"JG",37,2,2,1,0,0,0,0,0,1944-06-14
